TIMESTAMP,DEVICE_ID,USER_ID,RAW_INTENSITY,STEPS,RAW_KIND,HEART_RATE
1485013932,1,1,-1,-1,1,60
1485013953,1,1,-1,-1,1,77
1485013968,1,1,-1,-1,1,82
1485013978,1,1,-1,-1,1,90
1485013997,1,1,-1,-1,1,61
1485014008,1,1,-1,-1,1,60
1485014023,1,1,-1,-1,1,103
1485014039,1,1,-1,-1,1,98
1485014054,1,1,-1,-1,1,93
1485014069,1,1,-1,-1,1,76
1485014087,1,1,-1,-1,1,80
1485014103,1,1,-1,-1,1,90
1485014113,1,1,-1,-1,1,93
1485014134,1,1,-1,-1,1,96
1485014142,1,1,-1,-1,1,98
1485014165,1,1,-1,-1,1,97
1485014172,1,1,-1,-1,1,98
1485014187,1,1,-1,-1,1,90
1485014202,1,1,-1,-1,1,93
1485014217,1,1,-1,-1,1,87
1485014233,1,1,-1,-1,1,91
1485014247,1,1,-1,-1,1,94
1485014263,1,1,-1,-1,1,92
1485014277,1,1,-1,-1,1,91
1485014292,1,1,-1,-1,1,90
1485014307,1,1,-1,-1,1,70
1485014327,1,1,-1,-1,1,70
1485014342,1,1,-1,-1,1,63
1485014354,1,1,-1,-1,1,86
1485014367,1,1,-1,-1,1,103
1485014382,1,1,-1,-1,1,93
1485014397,1,1,-1,-1,1,97
1485014412,1,1,-1,-1,1,110
1485014432,1,1,-1,-1,1,104
1485014442,1,1,-1,-1,1,96
1485014463,1,1,-1,-1,1,102
1485014481,1,1,-1,-1,1,80
1485014489,1,1,-1,-1,1,89
1485014507,1,1,-1,-1,1,101
1485014522,1,1,-1,-1,1,96
1485014537,1,1,-1,-1,1,92
1485014549,1,1,-1,-1,1,101
1485014567,1,1,-1,-1,1,89
1485014582,1,1,-1,-1,1,95
1485014592,1,1,-1,-1,1,107
1485014609,1,1,-1,-1,1,112
1485014627,1,1,-1,-1,1,79
1485014637,1,1,-1,-1,1,80
1485014660,1,1,-1,-1,1,99
1485014669,1,1,-1,-1,1,91
1485014688,1,1,-1,-1,1,90
1485014702,1,1,-1,-1,1,89
1485014717,1,1,-1,-1,1,80
1485014733,1,1,-1,-1,1,108
1485014743,1,1,-1,-1,1,93
1485014762,1,1,-1,-1,1,91
1485014772,1,1,-1,-1,1,100
1485014788,1,1,-1,-1,1,100
1485014807,1,1,-1,-1,1,80
1485014817,1,1,-1,-1,1,89
1485014832,1,1,-1,-1,1,88
1485014847,1,1,-1,-1,1,92
1485014862,1,1,-1,-1,1,90
1485014883,1,1,-1,-1,1,95
1485014892,1,1,-1,-1,1,95
1485014927,1,1,-1,-1,1,71
1485014942,1,1,-1,-1,1,70
1485014952,1,1,-1,-1,1,97
1485014975,1,1,-1,-1,1,70
1485014988,1,1,-1,-1,1,97
1485015003,1,1,-1,-1,1,106
1485015013,1,1,-1,-1,1,108
1485015032,1,1,-1,-1,1,96
1485015049,1,1,-1,-1,1,72
1485015057,1,1,-1,-1,1,69
1485015077,1,1,-1,-1,1,54
1485015095,1,1,-1,-1,1,104
1485015122,1,1,-1,-1,1,70
1485015138,1,1,-1,-1,1,92
1485015153,1,1,-1,-1,1,100
